"id","ch"
1319,"0000000001000"
1320,"0000000001000"
1322,"0000000001000"
1324,"0000000001000"
1325,"0000000001000"
1326,"0000000001000"
1327,"0000000001100"
1328,"0000000001000"
1329,"0000000001000"
1332,"0000000001000"
1334,"0000000001000"
1335,"0000000001000"
1336,"0000000001000"
1337,"0000000001000"
1338,"0000000001000"
1340,"0000000001000"
1341,"0000000001001"
1342,"0000000001000"
1343,"0000000001000"
1344,"0000000001000"
1345,"0000000001000"
1346,"0000000001000"
1347,"0000000001000"
1348,"0000000001000"
1349,"0000000001000"
1350,"0000000001100"
1351,"0000000001000"
1352,"0000000001000"
1354,"0000000001000"
1356,"0000000001000"
1358,"0000000001000"
1360,"0000000001000"
1361,"0000000001000"
1363,"0000000001000"
1367,"0000000001000"
1370,"0000000001000"
1371,"0000000001000"
1372,"0000000001000"
1374,"0000000001000"
1375,"0000000001100"
1377,"0000000001000"
1379,"0000000001000"
1382,"0000000001000"
1386,"0000000001000"
1393,"0000000001000"
1394,"0000000001101"
1398,"0000000001000"
1404,"0000000001000"
1406,"0000000001000"
1407,"0000000001000"
1408,"0000000001000"
1409,"0000000001000"
1410,"0000000001000"
1412,"0000000001000"
1413,"0000000001000"
1414,"0000000001000"
1415,"0000000001000"
1417,"0000000001000"
1419,"0000000001100"
1420,"0000000001000"
1421,"0000000001000"
1422,"0000000001000"
1423,"0000000001000"
1425,"0000000001000"
1426,"0000000001000"
1427,"0000000001001"
1428,"0000000001000"
1429,"0000000001000"
1430,"0000000001000"
1431,"0000000001000"
1432,"0000000001100"
1434,"0000000010000"
1435,"0000000010000"
1438,"0000000001000"
1439,"0000000001000"
1440,"0000000001000"
1441,"0000000000100"
1442,"0000000001000"
1450,"0000000000100"
1451,"0000000000100"
1452,"0000000000100"
1453,"0000000000100"
1454,"0000000000100"
1455,"0000000000100"
1457,"0000000000100"
1458,"0000000000100"
1459,"0000000000100"
1460,"0000000000100"
1461,"0000000000100"
1462,"0000000000100"
1463,"0000000000100"
1464,"0000000000100"
1465,"0000000000100"
1466,"0000000000100"
1467,"0000000000100"
1468,"0000000000100"
1469,"0000000000100"
1470,"0000000000100"
1471,"0000000000100"
1472,"0000000000100"
1473,"0000000000100"
1474,"0000000000100"
1475,"0000000000100"
1477,"0000000000100"
1478,"0000000000100"
1479,"0000000000100"
1480,"0000000000100"
1481,"0000000000100"
1482,"0000000000100"
1483,"0000000000100"
1486,"0000000000110"
1488,"0000000000100"
1489,"0000000000100"
1490,"0000000000100"
1491,"0000000000100"
1492,"0000000000100"
1494,"0000000000100"
1495,"0000000000100"
1497,"0000000000100"
1498,"0000000000100"
1501,"0000000000100"
1502,"0000000000100"
1503,"0000000000100"
1504,"0000000000100"
1505,"0000000000100"
1506,"0000000000100"
1509,"0000000000100"
1510,"0000000000100"
1511,"0000000000100"
1512,"0000000000100"
1513,"0000000000100"
1520,"0000000000100"
1521,"0000000000100"
1522,"0000000000100"
1523,"0000000000100"
1524,"0000000000100"
1526,"0000000000100"
1528,"0000000000100"
1529,"0000000000100"
1532,"0000000000110"
1536,"0000000000100"
1537,"0000000000100"
1539,"0000000000100"
1540,"0000000000100"
1546,"0000000000100"
1549,"0000000000101"
1550,"0000000000100"
1552,"0000000000100"
1553,"0000000000100"
1554,"0000000000100"
1560,"0000000000100"
1561,"0000000000100"
1562,"0000000000100"
1563,"0000000000100"
1564,"0000000000100"
1565,"0000000000100"
1567,"0000000000100"
1568,"0000000000100"
1569,"0000000000100"
1570,"0000000000100"
1571,"0000000000100"
1572,"0000000000100"
1576,"0000000000100"
1579,"0000000000100"
1580,"0000000000100"
1581,"0000000000100"
1582,"0000000000100"
1583,"0000000000100"
1585,"0000000000100"
1588,"0000000000100"
1590,"0000000000100"
1591,"0000000000100"
1592,"0000000000100"
1593,"0000000000100"
1594,"0000000000100"
1595,"0000000000100"
1596,"0000000000100"
1597,"0000000000100"
1598,"0000000000100"
1599,"0000000000100"
1600,"0000000000100"
1601,"0000000000100"
1602,"0000000000100"
